Temperature,RtR25,Resistance,dRR,alpha,dT,Rmin,Rmax
13.0,1.72362664,17236.266,5.44,-4.70,1.16,16298.502,18174.031
14.0,1.64470987,16447.099,5.40,-4.67,1.16,15558.541,17335.656
15.0,1.56984591,15698.459,5.36,-4.64,1.15,14856.291,16540.627
16.0,1.49880571,14988.057,5.33,-4.62,1.15,14189.635,15786.479
17.0,1.43137427,14313.743,5.29,-4.59,1.15,13556.587,15070.898
18.0,1.36734973,13673.497,5.25,-4.56,1.15,12955.280,14391.715
19.0,1.30654249,13065.425,5.22,-4.54,1.15,12383.959,13746.891
20.0,1.24877442,12487.744,5.18,-4.51,1.15,11840.977,13134.511
21.0,1.19387812,11938.781,5.14,-4.48,1.15,11324.784,12552.779
22.0,1.14169619,11416.962,5.11,-4.46,1.15,10833.921,12000.003
23.0,1.09208064,10920.806,5.07,-4.43,1.14,10367.017,11474.596
24.0,1.04489225,10448.923,5.04,-4.40,1.14,9922.782,10975.063
25.0,1.00000000,10000.000,5.00,-4.38,1.14,9500.000,10500.000
26.0,0.95728058,9572.806,5.04,-4.35,1.16,9090.803,10054.808
27.0,0.91661788,9166.179,5.07,-4.33,1.17,8701.453,9630.905
28.0,0.87790256,8779.026,5.10,-4.30,1.19,8330.886,9227.166
29.0,0.84103160,8410.316,5.14,-4.28,1.20,7978.102,8842.530
30.0,0.80590792,8059.079,5.17,-4.25,1.22,7642.159,8475.999
31.0,0.77243999,7724.400,5.21,-4.23,1.23,7322.170,8126.630
32.0,0.74054153,7405.415,5.24,-4.21,1.25,7017.296,7793.535
33.0,0.71013114,7101.311,5.27,-4.18,1.26,6726.749,7475.874
34.0,0.68113204,6811.320,5.31,-4.16,1.28,6449.785,7172.856
35.0,0.65347175,6534.718,5.34,-4.13,1.29,6185.701,6883.734
36.0,0.62708187,6270.819,5.37,-4.11,1.31,5933.835,6607.802
37.0,0.60189779,6018.978,5.41,-4.09,1.32,5693.561,6344.394
38.0,0.57785851,5778.585,5.44,-4.06,1.34,5464.290,6092.880
39.0,0.55490637,5549.064,5.47,-4.04,1.35,5245.463,5852.665
40.0,0.53298691,5329.869,5.50,-4.02,1.37,5036.553,5623.186
41.0,0.51204862,5120.486,5.54,-4.00,1.38,4837.062,5403.910
42.0,0.49204282,4920.428,5.57,-3.97,1.40,4646.521,5194.335
43.0,0.47292345,4729.235,5.60,-3.95,1.42,4464.484,4993.985
44.0,0.45464695,4546.469,5.63,-3.93,1.43,4290.530,4802.409
45.0,0.43717208,4371.721,5.66,-3.91,1.45,4124.262,4619.180
46.0,0.42045983,4204.598,5.69,-3.89,1.46,3965.302,4443.894
47.0,0.40447324,4044.732,5.72,-3.87,1.48,3813.295,4276.170
48.0,0.38917733,3891.773,5.75,-3.84,1.50,3667.902,4115.644
49.0,0.37453895,3745.389,5.78,-3.82,1.51,3528.805,3961.974
50.0,0.36052669,3605.267,5.81,-3.80,1.53,3395.701,3814.833
51.0,0.34711080,3471.108,5.84,-3.78,1.54,3268.303,3673.913
52.0,0.33426306,3342.631,5.87,-3.76,1.56,3146.339,3538.923
53.0,0.32195671,3219.567,5.90,-3.74,1.58,3029.551,3409.583
54.0,0.31016637,3101.664,5.93,-3.72,1.59,2917.696,3285.632
55.0,0.29886798,2988.680,5.96,-3.70,1.61,2810.541,3166.818
56.0,0.28803869,2880.387,5.99,-3.68,1.63,2707.868,3052.906
57.0,0.27765683,2776.568,6.02,-3.66,1.64,2609.467,2943.669
58.0,0.26770180,2677.018,6.05,-3.64,1.66,2515.141,2838.895
59.0,0.25815406,2581.541,6.08,-3.62,1.68,2424.702,2738.379
60.0,0.24899505,2489.951,6.10,-3.60,1.69,2337.972,2641.929
61.0,0.24020713,2402.071,6.13,-3.58,1.71,2254.781,2549.362
62.0,0.23177355,2317.735,6.16,-3.56,1.73,2174.968,2460.503
63.0,0.22367837,2236.784,6.19,-3.55,1.75,2098.381,2375.186
64.0,0.21590644,2159.064,6.22,-3.53,1.76,2024.874,2293.255
65.0,0.20844338,2084.434,6.24,-3.51,1.78,1954.310,2214.558
66.0,0.20127548,2012.755,6.27,-3.49,1.80,1886.556,2138.954
67.0,0.19438972,1943.897,6.30,-3.47,1.81,1821.488,2066.307
68.0,0.18777369,1877.737,6.32,-3.45,1.83,1758.987,1996.487
69.0,0.18141560,1814.156,6.35,-3.44,1.85,1698.940,1929.372
70.0,0.17530421,1753.042,6.38,-3.42,1.87,1641.240,1864.844
71.0,0.16942883,1694.288,6.40,-3.40,1.88,1585.784,1802.793
72.0,0.16377927,1637.793,6.43,-3.38,1.90,1532.475,1743.111
73.0,0.15834584,1583.458,6.46,-3.37,1.92,1481.219,1685.697
74.0,0.15311927,1531.193,6.48,-3.35,1.94,1431.929,1630.456
75.0,0.14809078,1480.908,6.51,-3.33,1.95,1384.520,1577.295
76.0,0.14325195,1432.519,6.53,-3.31,1.97,1338.913,1526.126
77.0,0.13859478,1385.948,6.56,-3.30,1.99,1295.029,1476.867
78.0,0.13411165,1341.116,6.59,-3.28,2.01,1252.797,1429.436
79.0,0.12979526,1297.953,6.61,-3.26,2.03,1212.147,1383.758
80.0,0.12563867,1256.387,6.64,-3.25,2.04,1173.013,1339.761
81.0,0.12163526,1216.353,6.66,-3.23,2.06,1135.331,1297.374
82.0,0.11777869,1177.787,6.69,-3.21,2.08,1099.041,1256.533
83.0,0.11406294,1140.629,6.71,-3.20,2.10,1064.085,1217.174
84.0,0.11048224,1104.822,6.74,-3.18,2.12,1030.409,1179.236
85.0,0.10703108,1070.311,6.76,-3.17,2.14,997.960,1142.662
86.0,0.10370421,1037.042,6.78,-3.15,2.15,966.688,1107.397
87.0,0.10049661,1004.966,6.81,-3.13,2.17,936.544,1073.388
88.0,0.09740347,974.035,6.83,-3.12,2.19,907.485,1040.585
89.0,0.09442022,944.202,6.86,-3.10,2.21,879.464,1008.940
90.0,0.09154246,915.425,6.88,-3.09,2.23,852.442,978.407
91.0,0.08876602,887.660,6.90,-3.07,2.25,826.377,948.943
92.0,0.08608688,860.869,6.93,-3.06,2.27,801.233,920.505
93.0,0.08350121,835.012,6.95,-3.04,2.28,776.972,893.052
94.0,0.08100535,810.053,6.97,-3.03,2.30,753.559,866.548
95.0,0.07859579,785.958,7.00,-3.01,2.32,730.962,840.954
96.0,0.07626917,762.692,7.02,-3.00,2.34,709.148,816.235
97.0,0.07402228,740.223,7.04,-2.98,2.36,688.087,792.359
98.0,0.07185205,718.521,7.07,-2.97,2.38,667.750,769.291
99.0,0.06975554,697.555,7.09,-2.95,2.40,648.108,747.003
100.0,0.06772993,677.299,7.11,-2.94,2.42,629.135,725.464
101.0,0.06577251,657.725,7.13,-2.93,2.44,610.805,704.645
102.0,0.06388071,638.807,7.16,-2.91,2.46,593.094,684.520
103.0,0.06205204,620.520,7.18,-2.90,2.48,575.978,665.063
104.0,0.06028413,602.841,7.20,-2.88,2.50,559.435,646.247
105.0,0.05857471,585.747,7.22,-2.87,2.52,543.443,628.051
106.0,0.05692159,569.216,7.24,-2.86,2.54,527.982,610.450
107.0,0.05532269,553.227,7.27,-2.84,2.56,513.031,593.423
108.0,0.05377599,537.760,7.29,-2.83,2.58,498.571,576.949
109.0,0.05227958,522.796,7.31,-2.82,2.60,484.585,561.006
110.0,0.05083161,508.316,7.33,-2.80,2.62,471.055,545.577
111.0,0.04943031,494.303,7.35,-2.79,2.64,457.964,530.642
112.0,0.04807398,480.740,7.37,-2.78,2.66,445.296,516.183
113.0,0.04676100,467.610,7.39,-2.76,2.68,433.036,502.184
114.0,0.04548979,454.898,7.41,-2.75,2.70,421.168,488.627
115.0,0.04425886,442.589,7.44,-2.74,2.72,409.680,475.498
116.0,0.04306676,430.668,7.46,-2.72,2.74,398.556,462.779
117.0,0.04191211,419.121,7.48,-2.71,2.76,387.784,450.459
118.0,0.04079358,407.936,7.50,-2.70,2.78,377.351,438.521
119.0,0.03970990,397.099,7.52,-2.69,2.80,367.246,426.952
120.0,0.03865982,386.598,7.54,-2.67,2.82,357.456,415.741
121.0,0.03764218,376.422,7.56,-2.66,2.84,347.970,404.873
122.0,0.03665585,366.558,7.58,-2.65,2.86,338.779,394.338
123.0,0.03569972,356.997,7.60,-2.64,2.88,329.871,384.124
124.0,0.03477275,347.728,7.62,-2.62,2.90,321.236,374.219
125.0,0.03387394,338.739,7.64,-2.61,2.92,312.866,364.613
126.0,0.03300232,330.023,7.66,-2.60,2.94,304.750,355.296
127.0,0.03215696,321.570,7.68,-2.59,2.97,296.881,346.258
128.0,0.03133695,313.369,7.70,-2.58,2.99,289.249,337.490
129.0,0.03054144,305.414,7.72,-2.57,3.01,281.847,328.982
130.0,0.02976959,297.696,7.74,-2.55,3.03,274.667,320.725
131.0,0.02902062,290.206,7.76,-2.54,3.05,267.701,312.712
132.0,0.02829374,282.937,7.77,-2.53,3.07,260.941,304.933
133.0,0.02758822,275.882,7.79,-2.52,3.09,254.382,297.382
134.0,0.02690335,269.034,7.81,-2.51,3.11,248.016,290.051
135.0,0.02623845,262.384,7.83,-2.50,3.14,241.837,282.932
136.0,0.02559284,255.928,7.85,-2.49,3.16,235.839,276.018
137.0,0.02496590,249.659,7.87,-2.47,3.18,230.015,269.303
138.0,0.02435701,243.570,7.89,-2.46,3.20,224.360,262.780
139.0,0.02376558,237.656,7.91,-2.45,3.22,218.868,256.444
140.0,0.02319104,231.910,7.92,-2.44,3.25,213.534,250.287
141.0,0.02263285,226.328,7.94,-2.43,3.27,208.353,244.304
142.0,0.02209047,220.905,7.96,-2.42,3.29,203.320,238.489
143.0,0.02156339,215.634,7.98,-2.41,3.31,198.430,232.838
144.0,0.02105113,210.511,8.00,-2.40,3.33,193.678,227.345
145.0,0.02055321,205.532,8.01,-2.39,3.36,189.060,222.005
146.0,0.02006917,200.692,8.03,-2.38,3.38,184.571,216.812
147.0,0.01959858,195.986,8.05,-2.37,3.40,180.209,211.763
148.0,0.01914100,191.410,8.07,-2.36,3.42,175.967,206.853
149.0,0.01869603,186.960,8.09,-2.35,3.45,171.844,202.077
150.0,0.01826328,182.633,8.10,-2.34,3.47,167.834,197.432
,,,,,,,
